scope,n,pearson_r,pearson_p,spearman_r,spearman_p
tulu-2-7b,30,0.714,6.829e-08,0.780,4.477e-11
tulu-2-13b,30,-0.004,0.9823,-0.059,0.7547
vicuna-7b-v1.5,30,0.278,0.1259,0.312,0.08213
vicuna-13b-v1.5,30,-0.052,0.7823,-0.031,0.8681
wizardLM-7B,30,0.293,0.1049,0.293,0.1048
Nous-Hermes-2-Mixtral-8x7B-SFT,30,0.471,0.00472,0.373,0.03321
POOLED,180,0.429,2.305e-10,0.220,0.002667
