variant,MMLU,ARC-C,HellaSwag,WinoGrande,TruthfulQA,BoolQ,GSM8K,MMLU_stderr,ARC-C_stderr,HellaSwag_stderr,WinoGrande_stderr,TruthfulQA_stderr,BoolQ_stderr,GSM8K_stderr,mean
SFT baseline,0.7029,0.6195,0.8398,0.7490,0.5297,0.8749,0.6634,0.0036,0.0142,0.0037,0.0122,0.0148,0.0058,0.0130,0.7113
LOW β=0.01,0.6919,0.6186,0.8424,0.7490,0.5454,0.8688,0.6740,0.0037,0.0142,0.0036,0.0122,0.0148,0.0059,0.0129,0.7129
LOW β=0.1,0.6998,0.6177,0.8397,0.7530,0.5337,0.8706,0.6793,0.0036,0.0142,0.0037,0.0121,0.0146,0.0059,0.0129,0.7134
LOW β=0.5,0.6991,0.6135,0.8385,0.7506,0.5232,0.8740,0.6785,0.0036,0.0142,0.0037,0.0122,0.0147,0.0058,0.0129,0.7111
HIGH β=0.01,0.7030,0.6493,0.8431,0.7624,0.5741,0.8728,0.6816,0.0036,0.0139,0.0036,0.0120,0.0155,0.0058,0.0128,0.7266
HIGH β=0.1,0.7034,0.6297,0.8392,0.7593,0.5723,0.8737,0.6892,0.0036,0.0141,0.0037,0.0120,0.0152,0.0058,0.0127,0.7238
HIGH β=0.5,0.7019,0.6212,0.8392,0.7482,0.5392,0.8786,0.6717,0.0036,0.0142,0.0037,0.0122,0.0149,0.0057,0.0129,0.7143
