variant,MMLU,ARC-C,HellaSwag,WinoGrande,TruthfulQA,BoolQ,GSM8K,MMLU_stderr,ARC-C_stderr,HellaSwag_stderr,WinoGrande_stderr,TruthfulQA_stderr,BoolQ_stderr,GSM8K_stderr,mean
SFT baseline,0.7074,0.6195,0.7250,0.7490,0.5297,0.8580,0.6700,0.0113,0.0142,0.0141,0.0122,0.0148,0.0110,0.0333,0.6941
LOW β=0.01,0.7137,0.6186,0.7280,0.7490,0.5454,0.8540,0.6850,0.0112,0.0142,0.0141,0.0122,0.0148,0.0112,0.0329,0.6991
LOW β=0.1,0.7144,0.6177,0.7240,0.7530,0.5337,0.8580,0.6850,0.0113,0.0142,0.0141,0.0121,0.0146,0.0110,0.0329,0.6980
LOW β=0.5,0.7221,0.6135,0.7160,0.7506,0.5232,0.8640,0.6800,0.0112,0.0142,0.0143,0.0122,0.0147,0.0108,0.0331,0.6956
HIGH β=0.01,0.7130,0.6493,0.7310,0.7624,0.5741,0.8560,0.7200,0.0113,0.0139,0.0140,0.0120,0.0155,0.0111,0.0318,0.7151
HIGH β=0.1,0.7193,0.6297,0.7270,0.7593,0.5723,0.8640,0.6750,0.0113,0.0141,0.0141,0.0120,0.0152,0.0108,0.0332,0.7067
HIGH β=0.5,0.7102,0.6212,0.7280,0.7482,0.5392,0.8630,0.6800,0.0113,0.0142,0.0141,0.0122,0.0149,0.0109,0.0331,0.6985
