task,country,age_bracket,sex,n,mean,std,sem,ci95
HHH alignment,USA,25-34,female,25,0.46588235,0.0027647516,0.00055295031,0.0010837826
HHH alignment,USA,25-34,male,25,0.46461538,0.0028378413,0.00056756826,0.0011124338
HHH alignment,USA,35+,female,25,0.46570136,0.0034361345,0.00068722689,0.0013469647
HHH alignment,USA,35+,male,25,0.46769231,0.0025729596,0.00051459192,0.0010086002
Moral stories (acc_norm),Australia,18-24,female,25,0.63792,0.004142463,0.00082849261,0.0016238455
Moral stories (acc_norm),Australia,18-24,male,25,0.6392,0.0044347116,0.00088694231,0.0017384069
Moral stories (acc_norm),Australia,25-34,female,25,0.63984,0.0032103998,0.00064207995,0.0012584767
Moral stories (acc_norm),Australia,25-34,male,25,0.63896,0.0032721043,0.00065442086,0.0012826649
Moral stories (acc_norm),Australia,35+,female,25,0.64008,0.0038505411,0.00077010822,0.0015094121
Moral stories (acc_norm),Australia,35+,male,25,0.64,0.0037416574,0.00074833148,0.0014667297
Moral stories (acc_norm),Brazil,18-24,female,25,0.64008,0.0042614552,0.00085229103,0.0016704904
Moral stories (acc_norm),Brazil,18-24,male,25,0.6404,0.004,0.0008,0.001568
Moral stories (acc_norm),Brazil,25-34,female,25,0.6428,0.0034156503,0.00068313005,0.0013389349
Moral stories (acc_norm),Brazil,25-34,male,25,0.64272,0.0039949969,0.00079899937,0.0015660388
Moral stories (acc_norm),Brazil,35+,female,25,0.63936,0.0039038443,0.00078076885,0.0015303069
Moral stories (acc_norm),Brazil,35+,male,25,0.64176,0.0039715656,0.00079431312,0.0015568537
Moral stories (acc_norm),China,18-24,female,25,0.63992,0.0034389921,0.00068779842,0.0013480849
Moral stories (acc_norm),China,18-24,male,25,0.64128,0.0039530579,0.00079061158,0.0015495987
Moral stories (acc_norm),China,25-34,female,25,0.6404,0.0032659863,0.00065319726,0.0012802666
Moral stories (acc_norm),China,25-34,male,25,0.64048,0.0028448784,0.00056897569,0.0011151923
Moral stories (acc_norm),China,35+,female,25,0.6404,0.004472136,0.00089442719,0.0017530773
Moral stories (acc_norm),China,35+,male,25,0.64208,0.00329039,0.00065807801,0.0012898329
Moral stories (acc_norm),Germany,18-24,female,25,0.64024,0.0037558843,0.00075117685,0.0014723066
Moral stories (acc_norm),Germany,18-24,male,25,0.638,0.0028867513,0.00057735027,0.0011316065
Moral stories (acc_norm),Germany,25-34,female,25,0.6388,0.0034156503,0.00068313005,0.0013389349
Moral stories (acc_norm),Germany,25-34,male,25,0.63816,0.0032103998,0.00064207995,0.0012584767
Moral stories (acc_norm),Germany,35+,female,25,0.6408,0.0036968455,0.0007393691,0.0014491634
Moral stories (acc_norm),Germany,35+,male,25,0.63928,0.0034097898,0.00068195797,0.0013366376
Moral stories (acc_norm),India,18-24,female,25,0.64112,0.0034195516,0.00068391033,0.0013404642
Moral stories (acc_norm),India,18-24,male,25,0.64048,0.004874423,0.00097488461,0.0019107738
Moral stories (acc_norm),India,25-34,female,25,0.64104,0.0049369356,0.00098738712,0.0019352788
Moral stories (acc_norm),India,25-34,male,25,0.6412,0.0032659863,0.00065319726,0.0012802666
Moral stories (acc_norm),India,35+,female,25,0.64216,0.0032619013,0.00065238026,0.0012786653
Moral stories (acc_norm),India,35+,male,25,0.64096,0.003220766,0.00064415319,0.0012625403
Moral stories (acc_norm),South Afric,18-24,female,25,0.63928,0.004237924,0.0008475848,0.0016612662
Moral stories (acc_norm),South Afric,18-24,male,25,0.63744,0.0031368774,0.00062737549,0.001229656
Moral stories (acc_norm),South Afric,25-34,female,25,0.64032,0.00411015,0.00082203001,0.0016111788
Moral stories (acc_norm),South Afric,25-34,male,25,0.63992,0.0035814336,0.00071628672,0.001403922
Moral stories (acc_norm),South Afric,35+,female,25,0.64112,0.0037452192,0.00074904383,0.0014681259
Moral stories (acc_norm),South Afric,35+,male,25,0.64016,0.0032103998,0.00064207995,0.0012584767
Moral stories (acc_norm),USA,18-24,female,25,0.63944,0.0034409301,0.00068818602,0.0013488446
Moral stories (acc_norm),USA,18-24,male,25,0.63952,0.0038418745,0.00076837491,0.0015060148
Moral stories (acc_norm),USA,25-34,female,25,0.6396,0.0035118846,0.00070237692,0.0013766588
Moral stories (acc_norm),USA,25-34,male,25,0.64064,0.0031474858,0.00062949715,0.0012338144
Moral stories (acc_norm),USA,35+,female,25,0.64096,0.004207929,0.0008415858,0.0016495082
Moral stories (acc_norm),USA,35+,male,25,0.64,0.0031622777,0.00063245553,0.0012396128
Sycophancy (mean of 3),Australia,18-24,female,25,0.97194667,0.0072262895,0.0014452579,0.0028327055
Sycophancy (mean of 3),Australia,18-24,male,25,0.96490667,0.0090612729,0.0018122546,0.003552019
Sycophancy (mean of 3),Australia,25-34,female,25,0.97253333,0.010381608,0.0020763215,0.0040695902
Sycophancy (mean of 3),Australia,25-34,male,25,0.96501333,0.01317,0.0026339999,0.0051626398
Sycophancy (mean of 3),Australia,35+,female,25,0.96917333,0.01194785,0.0023895699,0.0046835571
Sycophancy (mean of 3),Australia,35+,male,25,0.96741333,0.011087731,0.0022175462,0.0043463905
Sycophancy (mean of 3),Brazil,18-24,female,25,0.96213333,0.01644069,0.0032881381,0.0064447506
Sycophancy (mean of 3),Brazil,18-24,male,25,0.95370667,0.029852775,0.0059705549,0.011702288
Sycophancy (mean of 3),Brazil,25-34,female,25,0.96109333,0.013403814,0.0026807627,0.005254295
Sycophancy (mean of 3),Brazil,25-34,male,25,0.95589333,0.012968166,0.0025936332,0.0050835211
Sycophancy (mean of 3),Brazil,35+,female,25,0.96888,0.01121956,0.0022439119,0.0043980674
Sycophancy (mean of 3),Brazil,35+,male,25,0.95530667,0.011743367,0.0023486734,0.0046033998
Sycophancy (mean of 3),China,18-24,female,25,0.96813333,0.012688578,0.0025377155,0.0049739224
Sycophancy (mean of 3),China,18-24,male,25,0.96837333,0.0089195582,0.0017839116,0.0034964668
Sycophancy (mean of 3),China,25-34,female,25,0.97192,0.0088093385,0.0017618677,0.0034532607
Sycophancy (mean of 3),China,25-34,male,25,0.97165333,0.0095667635,0.0019133527,0.0037501713
Sycophancy (mean of 3),China,35+,female,25,0.9684,0.012466251,0.0024932501,0.0048867703
Sycophancy (mean of 3),China,35+,male,25,0.96552,0.0097154325,0.0019430865,0.0038084496
Sycophancy (mean of 3),Germany,18-24,female,25,0.97197333,0.013923707,0.0027847415,0.0054580933
Sycophancy (mean of 3),Germany,18-24,male,25,0.96405333,0.018893385,0.003778677,0.007406207
Sycophancy (mean of 3),Germany,25-34,female,25,0.96733333,0.015072664,0.0030145327,0.0059084841
Sycophancy (mean of 3),Germany,25-34,male,25,0.96474667,0.011752573,0.0023505145,0.0046070085
Sycophancy (mean of 3),Germany,35+,female,25,0.96701333,0.0086797337,0.0017359467,0.0034024556
Sycophancy (mean of 3),Germany,35+,male,25,0.96525333,0.010428451,0.0020856902,0.0040879528
Sycophancy (mean of 3),India,18-24,female,25,0.97533333,0.00928958,0.001857916,0.0036415154
Sycophancy (mean of 3),India,18-24,male,25,0.96965333,0.0097394197,0.0019478839,0.0038178525
Sycophancy (mean of 3),India,25-34,female,25,0.96858667,0.01463041,0.0029260819,0.0057351206
Sycophancy (mean of 3),India,25-34,male,25,0.97024,0.012360151,0.0024720302,0.0048451792
Sycophancy (mean of 3),India,35+,female,25,0.96906667,0.014727148,0.0029454296,0.005773042
Sycophancy (mean of 3),India,35+,male,25,0.96984,0.011055885,0.002211177,0.0043339069
Sycophancy (mean of 3),South Afric,18-24,female,25,0.97050667,0.012389183,0.0024778366,0.0048565597
Sycophancy (mean of 3),South Afric,18-24,male,25,0.96792,0.015940073,0.0031880146,0.0062485086
Sycophancy (mean of 3),South Afric,25-34,female,25,0.96882667,0.011116021,0.0022232042,0.0043574803
Sycophancy (mean of 3),South Afric,25-34,male,25,0.96781333,0.010615363,0.0021230725,0.0041612222
Sycophancy (mean of 3),South Afric,35+,female,25,0.96810667,0.011345875,0.0022691751,0.0044475832
Sycophancy (mean of 3),South Afric,35+,male,25,0.97016,0.0084047606,0.0016809521,0.0032946661
Sycophancy (mean of 3),USA,18-24,female,25,0.97266667,0.010502204,0.0021004409,0.0041168641
Sycophancy (mean of 3),USA,18-24,male,25,0.96650667,0.010009773,0.0020019546,0.003923831
Sycophancy (mean of 3),USA,25-34,female,25,0.97365333,0.010597204,0.0021194409,0.0041541041
Sycophancy (mean of 3),USA,25-34,male,25,0.96208,0.011728913,0.0023457827,0.004597734
Sycophancy (mean of 3),USA,35+,female,25,0.96653333,0.013323608,0.0026647215,0.0052228542
Sycophancy (mean of 3),USA,35+,male,25,0.96432,0.014749915,0.0029499831,0.0057819668
