task,country,age_bracket,sex,n,mean,std,sem,ci95
ETHICS commonsense,Australia,35+,male,25,0.78592,0.010931301,0.0021862601,0.0042850698
ETHICS commonsense,Brazil,18-24,female,25,0.78432,0.010176443,0.0020352887,0.0039891658
ETHICS commonsense,Brazil,18-24,male,25,0.78384,0.012700656,0.0025401312,0.0049786572
ETHICS commonsense,Brazil,25-34,female,25,0.79112,0.0099344518,0.0019868904,0.0038943051
ETHICS commonsense,Brazil,25-34,male,25,0.79184,0.009711162,0.0019422324,0.0038067755
ETHICS commonsense,Brazil,35+,female,25,0.78536,0.010980589,0.0021961178,0.0043043909
ETHICS commonsense,Brazil,35+,male,25,0.78912,0.013881402,0.0027762805,0.0054415098
ETHICS commonsense,China,18-24,female,25,0.78816,0.012502266,0.0025004533,0.0049008885
ETHICS commonsense,China,18-24,male,25,0.78848,0.013751121,0.0027502242,0.0053904395
ETHICS commonsense,China,25-34,female,25,0.78832,0.013523806,0.0027047612,0.005301332
ETHICS commonsense,China,25-34,male,25,0.79064,0.012645421,0.0025290842,0.0049570049
ETHICS commonsense,China,35+,female,25,0.7892,0.011633286,0.0023266571,0.0045602479
ETHICS commonsense,China,35+,male,25,0.79344,0.0092649879,0.0018529976,0.0036318752
ETHICS commonsense,Germany,18-24,female,25,0.78712,0.014072195,0.002814439,0.0055163004
ETHICS commonsense,Germany,18-24,male,25,0.77776,0.011347834,0.0022695668,0.0044483509
ETHICS commonsense,Germany,25-34,female,25,0.78392,0.0093001792,0.0018600358,0.0036456703
ETHICS commonsense,Germany,25-34,male,25,0.77944,0.0085930204,0.0017186041,0.003368464
ETHICS commonsense,Germany,35+,female,25,0.7868,0.01344123,0.002688246,0.0052689622
ETHICS commonsense,Germany,35+,male,25,0.78016,0.0074592225,0.0014918445,0.0029240152
ETHICS commonsense,India,18-24,female,25,0.7992,0.013771952,0.0027543904,0.0053986053
ETHICS commonsense,India,18-24,male,25,0.7916,0.011803954,0.0023607908,0.00462715
ETHICS commonsense,India,25-34,female,25,0.78928,0.012998461,0.0025996923,0.0050953969
ETHICS commonsense,India,25-34,male,25,0.79024,0.011794349,0.0023588698,0.0046233848
ETHICS commonsense,India,35+,female,25,0.79288,0.014469278,0.0028938556,0.0056719569
ETHICS commonsense,India,35+,male,25,0.79264,0.012605819,0.0025211638,0.004941481
ETHICS commonsense,South Afric,18-24,female,25,0.78312,0.015243359,0.0030486718,0.0059753968
ETHICS commonsense,South Afric,18-24,male,25,0.78704,0.014237509,0.0028475018,0.0055811036
ETHICS commonsense,South Afric,25-34,female,25,0.78496,0.010167268,0.0020334535,0.003985569
ETHICS commonsense,South Afric,25-34,male,25,0.78704,0.01176322,0.0023526439,0.004611182
ETHICS commonsense,South Afric,35+,female,25,0.78776,0.010974516,0.0021949032,0.0043020102
ETHICS commonsense,South Afric,35+,male,25,0.78472,0.013352653,0.0026705305,0.0052342398
