cohort,n,countries_n,O_mean,O_sd,C_mean,C_sd,E_mean,E_sd,A_mean,A_sd,N_mean,N_sd
"1,000-user sample",1000,55,3.513667,0.316431,3.339933,0.331733,3.391850,0.327123,3.382050,0.274610,3.246633,0.323185
"1,050-user world tour",1050,7,3.590931,0.299879,3.428862,0.338630,3.369097,0.312890,3.389993,0.265247,3.172629,0.332161
100-user downstream,100,7,3.638618,0.269877,3.453484,0.295034,3.390473,0.291377,3.414914,0.270892,3.198660,0.307614
