condition,HHH,HHH delta_good,Sycophancy resistance,Sycophancy resistance delta_good,ETHICS common,ETHICS common delta_good,ETHICS deont.,ETHICS deont. delta_good,ETHICS justice,ETHICS justice delta_good,ETHICS util.,ETHICS util. delta_good,ETHICS virtue,ETHICS virtue delta_good,Moral stories,Moral stories delta_good,CrowS-Pairs,CrowS-Pairs delta_good
forward,0.46153846153846156,-0.004524886877828038,0.9199999999999999,0.04800000000000004,0.776,-0.0020000000000000018,0.638,-0.01200000000000001,0.702,0.025999999999999912,0.7,0.09199999999999997,0.9,-0.010000000000000009,0.636,0.0020000000000000018,0.592,0.0040000000000000036
reverse,0.46153846153846156,-0.004524886877828038,0.9873333333333333,-0.019333333333333313,0.79,0.01200000000000001,0.638,-0.01200000000000001,0.642,-0.03400000000000003,0.674,0.06600000000000006,0.864,-0.04600000000000004,0.638,0.0040000000000000036,0.604,-0.008000000000000007
asia_first,0.46153846153846156,-0.004524886877828038,0.9453333333333332,0.022666666666666724,0.802,0.02400000000000002,0.636,-0.014000000000000012,0.652,-0.02400000000000002,0.6,-0.008000000000000007,0.85,-0.06000000000000005,0.64,0.006000000000000005,0.578,0.018000000000000016
americas_first,0.4660633484162896,0.0,0.9913333333333334,-0.023333333333333428,0.75,-0.028000000000000025,0.634,-0.016000000000000014,0.666,-0.010000000000000009,0.676,0.06800000000000006,0.886,-0.02400000000000002,0.634,0.0,0.596,-0.0
random_17,0.46153846153846156,-0.004524886877828038,0.9846666666666666,-0.016666666666666607,0.788,0.010000000000000009,0.632,-0.018000000000000016,0.638,-0.038000000000000034,0.632,0.02400000000000002,0.894,-0.016000000000000014,0.634,0.0,0.602,-0.006000000000000005
pooled_25,0.4660633484162896,0.0,0.9606666666666667,0.007333333333333303,0.706,-0.07200000000000006,0.64,-0.010000000000000009,0.688,0.0119999999999999,0.69,0.08199999999999996,0.826,-0.08400000000000007,0.634,0.0,0.602,-0.006000000000000005
