variant,MMLU,MMLU_lo,MMLU_hi,MMLU_N,ARC-C,ARC-C_lo,ARC-C_hi,ARC-C_N,HellaSwag,HellaSwag_lo,HellaSwag_hi,HellaSwag_N,WinoGrande,WinoGrande_lo,WinoGrande_hi,WinoGrande_N,TruthfulQA,TruthfulQA_lo,TruthfulQA_hi,TruthfulQA_N,BoolQ,BoolQ_lo,BoolQ_hi,BoolQ_N,GSM8K,GSM8K_lo,GSM8K_hi,GSM8K_N,Macro,Macro_lo,Macro_hi
SFT baseline,0.5698,0.5450,0.5946,1425,0.5247,0.4961,0.5533,1172,0.7110,0.6829,0.7391,1000,0.7214,0.6967,0.7461,1267,0.4690,0.4396,0.4984,817,0.8510,0.8289,0.8731,1000,0.3500,0.2837,0.4163,200,0.5996,0.5863,0.6128
O HIGH β=0.01,0.5719,0.5472,0.5967,1425,0.5299,0.5013,0.5585,1172,0.7160,0.6880,0.7440,1000,0.7182,0.6935,0.7430,1267,0.4687,0.4393,0.4982,817,0.8530,0.8310,0.8750,1000,0.3550,0.2885,0.4215,200,0.6018,0.5886,0.6151
O HIGH β=0.1,0.5712,0.5465,0.5960,1425,0.5307,0.5021,0.5593,1172,0.7130,0.6849,0.7411,1000,0.7174,0.6926,0.7422,1267,0.4685,0.4391,0.4980,817,0.8540,0.8321,0.8759,1000,0.3500,0.2837,0.4163,200,0.6007,0.5875,0.6139
O HIGH β=0.5,0.5726,0.5479,0.5974,1425,0.5333,0.5047,0.5619,1172,0.7130,0.6849,0.7411,1000,0.7206,0.6959,0.7453,1267,0.4686,0.4392,0.4980,817,0.8520,0.8300,0.8740,1000,0.3500,0.2837,0.4163,200,0.6014,0.5882,0.6147
O LOW β=0.01,0.5684,0.5436,0.5932,1425,0.5230,0.4944,0.5516,1172,0.7130,0.6849,0.7411,1000,0.7206,0.6959,0.7453,1267,0.4690,0.4396,0.4983,817,0.8470,0.8247,0.8693,1000,0.3600,0.2933,0.4267,200,0.6001,0.5869,0.6134
O LOW β=0.1,0.5712,0.5465,0.5960,1425,0.5230,0.4944,0.5516,1172,0.7130,0.6849,0.7411,1000,0.7206,0.6959,0.7453,1267,0.4700,0.4406,0.4994,817,0.8480,0.8257,0.8703,1000,0.3350,0.2694,0.4006,200,0.5973,0.5841,0.6104
O LOW β=0.5,0.5712,0.5465,0.5960,1425,0.5213,0.4927,0.5499,1172,0.7110,0.6829,0.7391,1000,0.7214,0.6967,0.7461,1267,0.4695,0.4401,0.4989,817,0.8500,0.8279,0.8721,1000,0.3400,0.2742,0.4058,200,0.5978,0.5846,0.6110
C HIGH β=0.01,0.5663,0.5416,0.5911,1425,0.5307,0.5021,0.5593,1172,0.7140,0.6860,0.7420,1000,0.7198,0.6951,0.7445,1267,0.4691,0.4397,0.4986,817,0.8520,0.8300,0.8740,1000,0.3600,0.2933,0.4267,200,0.6017,0.5884,0.6150
C HIGH β=0.1,0.5684,0.5437,0.5932,1425,0.5299,0.5013,0.5585,1172,0.7150,0.6870,0.7430,1000,0.7222,0.6975,0.7469,1267,0.4696,0.4402,0.4991,817,0.8540,0.8321,0.8759,1000,0.3550,0.2885,0.4215,200,0.6020,0.5888,0.6153
C HIGH β=0.5,0.5712,0.5465,0.5960,1425,0.5299,0.5013,0.5585,1172,0.7120,0.6839,0.7401,1000,0.7182,0.6935,0.7430,1267,0.4691,0.4397,0.4986,817,0.8550,0.8332,0.8768,1000,0.3650,0.2981,0.4319,200,0.6029,0.5896,0.6162
C LOW β=0.01,0.5691,0.5443,0.5939,1425,0.5205,0.4919,0.5491,1172,0.7070,0.6788,0.7352,1000,0.7190,0.6943,0.7438,1267,0.4695,0.4401,0.4989,817,0.8500,0.8279,0.8721,1000,0.3450,0.2790,0.4110,200,0.5972,0.5839,0.6104
C LOW β=0.1,0.5754,0.5507,0.6002,1425,0.5162,0.4876,0.5448,1172,0.7130,0.6849,0.7411,1000,0.7190,0.6943,0.7438,1267,0.4710,0.4417,0.5004,817,0.8520,0.8300,0.8740,1000,0.3500,0.2837,0.4163,200,0.5995,0.5863,0.6128
C LOW β=0.5,0.5677,0.5429,0.5925,1425,0.5230,0.4944,0.5516,1172,0.7100,0.6819,0.7381,1000,0.7206,0.6959,0.7453,1267,0.4707,0.4413,0.5001,817,0.8480,0.8257,0.8703,1000,0.3450,0.2790,0.4110,200,0.5979,0.5846,0.6111
E HIGH β=0.01,0.5705,0.5458,0.5952,1425,0.5256,0.4970,0.5542,1172,0.7150,0.6870,0.7430,1000,0.7238,0.6991,0.7484,1267,0.4680,0.4385,0.4974,817,0.8510,0.8289,0.8731,1000,0.3600,0.2933,0.4267,200,0.6020,0.5887,0.6152
E HIGH β=0.1,0.5656,0.5409,0.5904,1425,0.5290,0.5004,0.5576,1172,0.7110,0.6829,0.7391,1000,0.7198,0.6951,0.7445,1267,0.4679,0.4385,0.4973,817,0.8510,0.8289,0.8731,1000,0.3550,0.2885,0.4215,200,0.5999,0.5867,0.6132
E HIGH β=0.5,0.5705,0.5458,0.5952,1425,0.5256,0.4970,0.5542,1172,0.7140,0.6860,0.7420,1000,0.7206,0.6959,0.7453,1267,0.4703,0.4409,0.4997,817,0.8530,0.8310,0.8750,1000,0.3600,0.2933,0.4267,200,0.6020,0.5887,0.6153
E LOW β=0.01,0.5719,0.5472,0.5967,1425,0.5222,0.4936,0.5508,1172,0.7090,0.6808,0.7372,1000,0.7190,0.6943,0.7438,1267,0.4719,0.4425,0.5013,817,0.8500,0.8279,0.8721,1000,0.3350,0.2694,0.4006,200,0.5970,0.5838,0.6102
E LOW β=0.1,0.5733,0.5486,0.5980,1425,0.5256,0.4970,0.5542,1172,0.7100,0.6819,0.7381,1000,0.7167,0.6918,0.7415,1267,0.4715,0.4422,0.5009,817,0.8520,0.8300,0.8740,1000,0.3600,0.2933,0.4267,200,0.6013,0.5880,0.6146
E LOW β=0.5,0.5719,0.5473,0.5966,1425,0.5273,0.4987,0.5559,1172,0.7130,0.6849,0.7411,1000,0.7230,0.6983,0.7476,1267,0.4715,0.4422,0.5009,817,0.8500,0.8279,0.8721,1000,0.3550,0.2885,0.4215,200,0.6017,0.5884,0.6149
A HIGH β=0.01,0.5712,0.5465,0.5960,1425,0.5299,0.5013,0.5585,1172,0.7110,0.6829,0.7391,1000,0.7190,0.6943,0.7438,1267,0.4707,0.4412,0.5001,817,0.8540,0.8321,0.8759,1000,0.3500,0.2837,0.4163,200,0.6008,0.5876,0.6141
A HIGH β=0.1,0.5719,0.5472,0.5967,1425,0.5299,0.5013,0.5585,1172,0.7120,0.6839,0.7401,1000,0.7182,0.6935,0.7430,1267,0.4708,0.4413,0.5003,817,0.8550,0.8332,0.8768,1000,0.3500,0.2837,0.4163,200,0.6011,0.5879,0.6143
A HIGH β=0.5,0.5698,0.5451,0.5946,1425,0.5290,0.5004,0.5576,1172,0.7130,0.6849,0.7411,1000,0.7230,0.6983,0.7476,1267,0.4698,0.4404,0.4992,817,0.8530,0.8310,0.8750,1000,0.3550,0.2885,0.4215,200,0.6018,0.5886,0.6150
A LOW β=0.01,0.5670,0.5423,0.5918,1425,0.5179,0.4893,0.5465,1172,0.7110,0.6829,0.7391,1000,0.7214,0.6967,0.7461,1267,0.4688,0.4394,0.4982,817,0.8500,0.8279,0.8721,1000,0.3550,0.2885,0.4215,200,0.5987,0.5855,0.6120
A LOW β=0.1,0.5719,0.5472,0.5967,1425,0.5222,0.4936,0.5508,1172,0.7130,0.6849,0.7411,1000,0.7230,0.6983,0.7476,1267,0.4688,0.4394,0.4982,817,0.8530,0.8310,0.8750,1000,0.3500,0.2837,0.4163,200,0.6003,0.5870,0.6135
A LOW β=0.5,0.5684,0.5437,0.5932,1425,0.5213,0.4927,0.5499,1172,0.7130,0.6849,0.7411,1000,0.7222,0.6975,0.7469,1267,0.4712,0.4418,0.5005,817,0.8520,0.8300,0.8740,1000,0.3600,0.2933,0.4267,200,0.6012,0.5879,0.6144
N HIGH β=0.01,0.5726,0.5479,0.5974,1425,0.5247,0.4961,0.5533,1172,0.7120,0.6839,0.7401,1000,0.7198,0.6951,0.7445,1267,0.4699,0.4405,0.4992,817,0.8510,0.8289,0.8731,1000,0.3500,0.2837,0.4163,200,0.6000,0.5868,0.6132
N HIGH β=0.1,0.5656,0.5409,0.5904,1425,0.5273,0.4987,0.5559,1172,0.7100,0.6819,0.7381,1000,0.7190,0.6943,0.7438,1267,0.4703,0.4409,0.4997,817,0.8500,0.8279,0.8721,1000,0.3450,0.2790,0.4110,200,0.5982,0.5850,0.6114
N HIGH β=0.5,0.5712,0.5465,0.5960,1425,0.5247,0.4961,0.5533,1172,0.7110,0.6829,0.7391,1000,0.7230,0.6983,0.7476,1267,0.4692,0.4399,0.4986,817,0.8500,0.8279,0.8721,1000,0.3500,0.2837,0.4163,200,0.5999,0.5867,0.6131
N LOW β=0.01,0.5698,0.5450,0.5946,1425,0.5307,0.5021,0.5593,1172,0.7110,0.6829,0.7391,1000,0.7159,0.6910,0.7407,1267,0.4702,0.4408,0.4995,817,0.8570,0.8353,0.8787,1000,0.3600,0.2933,0.4267,200,0.6021,0.5888,0.6153
N LOW β=0.1,0.5684,0.5437,0.5932,1425,0.5290,0.5004,0.5576,1172,0.7110,0.6829,0.7391,1000,0.7198,0.6951,0.7445,1267,0.4696,0.4402,0.4989,817,0.8550,0.8332,0.8768,1000,0.3550,0.2885,0.4215,200,0.6011,0.5879,0.6144
