config,task,score_base,score_dpo,delta,z,p_raw,p_bh,sig_fdr05,is_macro
A HIGH β=0.01,ARC-C,0.5247,0.5299,+0.0051,0.248,0.804,1,,0
A HIGH β=0.01,BoolQ,0.8510,0.8540,+0.0030,0.189,0.85,1,,0
A HIGH β=0.01,GSM8K,0.3500,0.3500,+0.0000,0.000,1,1,,0
A HIGH β=0.01,HellaSwag,0.7110,0.7110,+0.0000,0.000,1,1,,0
A HIGH β=0.01,MMLU,0.5698,0.5712,+0.0014,0.079,0.9374,1,,0
A HIGH β=0.01,Macro,0.5996,0.6008,+0.0013,0.131,0.8955,1,,1
A HIGH β=0.01,TruthfulQA,0.4690,0.4707,+0.0016,0.076,0.9391,1,,0
A HIGH β=0.01,WinoGrande,0.7214,0.7190,-0.0024,-0.133,0.8944,1,,0
A HIGH β=0.1,ARC-C,0.5247,0.5299,+0.0051,0.248,0.804,1,,0
A HIGH β=0.1,BoolQ,0.8510,0.8550,+0.0040,0.252,0.8007,1,,0
A HIGH β=0.1,GSM8K,0.3500,0.3500,+0.0000,0.000,1,1,,0
A HIGH β=0.1,HellaSwag,0.7110,0.7120,+0.0010,0.049,0.9607,1,,0
A HIGH β=0.1,MMLU,0.5698,0.5719,+0.0021,0.118,0.9062,1,,0
A HIGH β=0.1,Macro,0.5996,0.6011,+0.0015,0.162,0.8712,1,,1
A HIGH β=0.1,TruthfulQA,0.4690,0.4708,+0.0018,0.083,0.9339,1,,0
A HIGH β=0.1,WinoGrande,0.7214,0.7182,-0.0032,-0.177,0.8596,1,,0
A HIGH β=0.5,ARC-C,0.5247,0.5290,+0.0043,0.207,0.8362,1,,0
A HIGH β=0.5,BoolQ,0.8510,0.8530,+0.0020,0.126,0.8998,1,,0
A HIGH β=0.5,GSM8K,0.3500,0.3550,+0.0050,0.104,0.9169,1,,0
A HIGH β=0.5,HellaSwag,0.7110,0.7130,+0.0020,0.099,0.9214,1,,0
A HIGH β=0.5,MMLU,0.5698,0.5698,+0.0000,0.000,1,1,,0
A HIGH β=0.5,Macro,0.5996,0.6018,+0.0022,0.234,0.8151,1,,1
A HIGH β=0.5,TruthfulQA,0.4690,0.4698,+0.0008,0.037,0.9702,1,,0
A HIGH β=0.5,WinoGrande,0.7214,0.7230,+0.0016,0.089,0.9293,1,,0
A LOW β=0.01,ARC-C,0.5247,0.5179,-0.0068,-0.331,0.7409,1,,0
A LOW β=0.01,BoolQ,0.8510,0.8500,-0.0010,-0.063,0.95,1,,0
A LOW β=0.01,GSM8K,0.3500,0.3550,+0.0050,0.104,0.9169,1,,0
A LOW β=0.01,HellaSwag,0.7110,0.7110,+0.0000,0.000,1,1,,0
A LOW β=0.01,MMLU,0.5698,0.5670,-0.0028,-0.157,0.8752,1,,0
A LOW β=0.01,Macro,0.5996,0.5987,-0.0008,-0.088,0.93,1,,1
A LOW β=0.01,TruthfulQA,0.4690,0.4688,-0.0002,-0.011,0.991,1,,0
A LOW β=0.01,WinoGrande,0.7214,0.7214,+0.0000,0.000,1,1,,0
A LOW β=0.1,ARC-C,0.5247,0.5222,-0.0026,-0.124,0.9013,1,,0
A LOW β=0.1,BoolQ,0.8510,0.8530,+0.0020,0.126,0.8998,1,,0
A LOW β=0.1,GSM8K,0.3500,0.3500,+0.0000,0.000,1,1,,0
A LOW β=0.1,HellaSwag,0.7110,0.7130,+0.0020,0.099,0.9214,1,,0
A LOW β=0.1,MMLU,0.5698,0.5719,+0.0021,0.118,0.9063,1,,0
A LOW β=0.1,Macro,0.5996,0.6003,+0.0007,0.073,0.9422,1,,1
A LOW β=0.1,TruthfulQA,0.4690,0.4688,-0.0003,-0.013,0.9895,1,,0
A LOW β=0.1,WinoGrande,0.7214,0.7230,+0.0016,0.089,0.9293,1,,0
A LOW β=0.5,ARC-C,0.5247,0.5213,-0.0034,-0.165,0.8687,1,,0
A LOW β=0.5,BoolQ,0.8510,0.8520,+0.0010,0.063,0.9499,1,,0
A LOW β=0.5,GSM8K,0.3500,0.3600,+0.0100,0.208,0.8349,1,,0
A LOW β=0.5,HellaSwag,0.7110,0.7130,+0.0020,0.099,0.9214,1,,0
A LOW β=0.5,MMLU,0.5698,0.5684,-0.0014,-0.079,0.9374,1,,0
A LOW β=0.5,Macro,0.5996,0.6012,+0.0016,0.166,0.8685,1,,1
A LOW β=0.5,TruthfulQA,0.4690,0.4712,+0.0021,0.099,0.9208,1,,0
A LOW β=0.5,WinoGrande,0.7214,0.7222,+0.0008,0.044,0.9647,1,,0
C HIGH β=0.01,ARC-C,0.5247,0.5307,+0.0060,0.289,0.7722,1,,0
C HIGH β=0.01,BoolQ,0.8510,0.8520,+0.0010,0.063,0.9499,1,,0
C HIGH β=0.01,GSM8K,0.3500,0.3600,+0.0100,0.208,0.8349,1,,0
C HIGH β=0.01,HellaSwag,0.7110,0.7140,+0.0030,0.148,0.8822,1,,0
C HIGH β=0.01,MMLU,0.5698,0.5663,-0.0035,-0.196,0.8443,1,,0
C HIGH β=0.01,Macro,0.5996,0.6017,+0.0021,0.224,0.8228,1,,1
C HIGH β=0.01,TruthfulQA,0.4690,0.4691,+0.0001,0.005,0.9961,1,,0
C HIGH β=0.01,WinoGrande,0.7214,0.7198,-0.0016,-0.089,0.9295,1,,0
C HIGH β=0.1,ARC-C,0.5247,0.5299,+0.0051,0.248,0.804,1,,0
C HIGH β=0.1,BoolQ,0.8510,0.8540,+0.0030,0.189,0.85,1,,0
C HIGH β=0.1,GSM8K,0.3500,0.3550,+0.0050,0.104,0.9169,1,,0
C HIGH β=0.1,HellaSwag,0.7110,0.7150,+0.0040,0.198,0.8433,1,,0
C HIGH β=0.1,MMLU,0.5698,0.5684,-0.0014,-0.079,0.9374,1,,0
C HIGH β=0.1,Macro,0.5996,0.6020,+0.0024,0.256,0.7981,1,,1
C HIGH β=0.1,TruthfulQA,0.4690,0.4696,+0.0006,0.028,0.9778,1,,0
C HIGH β=0.1,WinoGrande,0.7214,0.7222,+0.0008,0.044,0.9647,1,,0
C HIGH β=0.5,ARC-C,0.5247,0.5299,+0.0051,0.248,0.804,1,,0
C HIGH β=0.5,BoolQ,0.8510,0.8550,+0.0040,0.252,0.8007,1,,0
C HIGH β=0.5,GSM8K,0.3500,0.3650,+0.0150,0.312,0.7549,1,,0
C HIGH β=0.5,HellaSwag,0.7110,0.7120,+0.0010,0.049,0.9607,1,,0
C HIGH β=0.5,MMLU,0.5698,0.5712,+0.0014,0.079,0.9374,1,,0
C HIGH β=0.5,Macro,0.5996,0.6029,+0.0034,0.350,0.7261,1,,1
C HIGH β=0.5,TruthfulQA,0.4690,0.4691,+0.0001,0.004,0.9967,1,,0
C HIGH β=0.5,WinoGrande,0.7214,0.7182,-0.0032,-0.177,0.8596,1,,0
C LOW β=0.01,ARC-C,0.5247,0.5205,-0.0043,-0.207,0.8363,1,,0
C LOW β=0.01,BoolQ,0.8510,0.8500,-0.0010,-0.063,0.95,1,,0
C LOW β=0.01,GSM8K,0.3500,0.3450,-0.0050,-0.105,0.9166,1,,0
C LOW β=0.01,HellaSwag,0.7110,0.7070,-0.0040,-0.197,0.844,1,,0
C LOW β=0.01,MMLU,0.5698,0.5691,-0.0007,-0.039,0.9687,1,,0
C LOW β=0.01,Macro,0.5996,0.5972,-0.0024,-0.253,0.8004,1,,1
C LOW β=0.01,TruthfulQA,0.4690,0.4695,+0.0005,0.021,0.983,1,,0
C LOW β=0.01,WinoGrande,0.7214,0.7190,-0.0024,-0.133,0.8944,1,,0
C LOW β=0.1,ARC-C,0.5247,0.5162,-0.0085,-0.413,0.6794,1,,0
C LOW β=0.1,BoolQ,0.8510,0.8520,+0.0010,0.063,0.9499,1,,0
C LOW β=0.1,GSM8K,0.3500,0.3500,+0.0000,0.000,1,1,,0
C LOW β=0.1,HellaSwag,0.7110,0.7130,+0.0020,0.099,0.9214,1,,0
C LOW β=0.1,MMLU,0.5698,0.5754,+0.0056,0.314,0.7536,1,,0
C LOW β=0.1,Macro,0.5996,0.5995,-0.0000,-0.005,0.9963,1,,1
C LOW β=0.1,TruthfulQA,0.4690,0.4710,+0.0020,0.093,0.9257,1,,0
C LOW β=0.1,WinoGrande,0.7214,0.7190,-0.0024,-0.133,0.8944,1,,0
C LOW β=0.5,ARC-C,0.5247,0.5230,-0.0017,-0.083,0.9341,1,,0
C LOW β=0.5,BoolQ,0.8510,0.8480,-0.0030,-0.188,0.8513,1,,0
C LOW β=0.5,GSM8K,0.3500,0.3450,-0.0050,-0.105,0.9166,1,,0
C LOW β=0.5,HellaSwag,0.7110,0.7100,-0.0010,-0.049,0.9607,1,,0
C LOW β=0.5,MMLU,0.5698,0.5677,-0.0021,-0.118,0.9063,1,,0
C LOW β=0.5,Macro,0.5996,0.5979,-0.0017,-0.179,0.8579,1,,1
C LOW β=0.5,TruthfulQA,0.4690,0.4707,+0.0016,0.078,0.9381,1,,0
C LOW β=0.5,WinoGrande,0.7214,0.7206,-0.0008,-0.044,0.9647,1,,0
E HIGH β=0.01,ARC-C,0.5247,0.5256,+0.0009,0.041,0.967,1,,0
E HIGH β=0.01,BoolQ,0.8510,0.8510,+0.0000,0.000,1,1,,0
E HIGH β=0.01,GSM8K,0.3500,0.3600,+0.0100,0.208,0.8349,1,,0
E HIGH β=0.01,HellaSwag,0.7110,0.7150,+0.0040,0.198,0.8433,1,,0
E HIGH β=0.01,MMLU,0.5698,0.5705,+0.0007,0.039,0.9686,1,,0
E HIGH β=0.01,Macro,0.5996,0.6020,+0.0024,0.252,0.8012,1,,1
E HIGH β=0.01,TruthfulQA,0.4690,0.4680,-0.0011,-0.051,0.9596,1,,0
E HIGH β=0.01,WinoGrande,0.7214,0.7238,+0.0024,0.133,0.8941,1,,0
E HIGH β=0.1,ARC-C,0.5247,0.5290,+0.0043,0.207,0.8362,1,,0
E HIGH β=0.1,BoolQ,0.8510,0.8510,+0.0000,0.000,1,1,,0
E HIGH β=0.1,GSM8K,0.3500,0.3550,+0.0050,0.104,0.9169,1,,0
E HIGH β=0.1,HellaSwag,0.7110,0.7110,+0.0000,0.000,1,1,,0
E HIGH β=0.1,MMLU,0.5698,0.5656,-0.0042,-0.236,0.8138,1,,0
E HIGH β=0.1,Macro,0.5996,0.5999,+0.0003,0.035,0.9717,1,,1
E HIGH β=0.1,TruthfulQA,0.4690,0.4679,-0.0011,-0.052,0.9583,1,,0
E HIGH β=0.1,WinoGrande,0.7214,0.7198,-0.0016,-0.089,0.9295,1,,0
E HIGH β=0.5,ARC-C,0.5247,0.5256,+0.0009,0.041,0.967,1,,0
E HIGH β=0.5,BoolQ,0.8510,0.8530,+0.0020,0.126,0.8998,1,,0
E HIGH β=0.5,GSM8K,0.3500,0.3600,+0.0100,0.208,0.8349,1,,0
E HIGH β=0.5,HellaSwag,0.7110,0.7140,+0.0030,0.148,0.8822,1,,0
E HIGH β=0.5,MMLU,0.5698,0.5705,+0.0007,0.039,0.9686,1,,0
E HIGH β=0.5,Macro,0.5996,0.6020,+0.0024,0.254,0.7991,1,,1
E HIGH β=0.5,TruthfulQA,0.4690,0.4703,+0.0013,0.059,0.9526,1,,0
E HIGH β=0.5,WinoGrande,0.7214,0.7206,-0.0008,-0.044,0.9647,1,,0
E LOW β=0.01,ARC-C,0.5247,0.5222,-0.0026,-0.124,0.9013,1,,0
E LOW β=0.01,BoolQ,0.8510,0.8500,-0.0010,-0.063,0.95,1,,0
E LOW β=0.01,GSM8K,0.3500,0.3350,-0.0150,-0.315,0.7525,1,,0
E LOW β=0.01,HellaSwag,0.7110,0.7090,-0.0020,-0.099,0.9215,1,,0
E LOW β=0.01,MMLU,0.5698,0.5719,+0.0021,0.118,0.9062,1,,0
E LOW β=0.01,Macro,0.5996,0.5970,-0.0026,-0.269,0.7878,1,,1
E LOW β=0.01,TruthfulQA,0.4690,0.4719,+0.0029,0.136,0.8919,1,,0
E LOW β=0.01,WinoGrande,0.7214,0.7190,-0.0024,-0.133,0.8944,1,,0
E LOW β=0.1,ARC-C,0.5247,0.5256,+0.0009,0.041,0.967,1,,0
E LOW β=0.1,BoolQ,0.8510,0.8520,+0.0010,0.063,0.9499,1,,0
E LOW β=0.1,GSM8K,0.3500,0.3600,+0.0100,0.208,0.8349,1,,0
E LOW β=0.1,HellaSwag,0.7110,0.7100,-0.0010,-0.049,0.9607,1,,0
E LOW β=0.1,MMLU,0.5698,0.5733,+0.0035,0.197,0.8442,1,,0
E LOW β=0.1,Macro,0.5996,0.6013,+0.0017,0.181,0.8562,1,,1
E LOW β=0.1,TruthfulQA,0.4690,0.4715,+0.0025,0.118,0.906,1,,0
E LOW β=0.1,WinoGrande,0.7214,0.7167,-0.0047,-0.265,0.7909,1,,0
E LOW β=0.5,ARC-C,0.5247,0.5273,+0.0026,0.124,0.9013,1,,0
E LOW β=0.5,BoolQ,0.8510,0.8500,-0.0010,-0.063,0.95,1,,0
E LOW β=0.5,GSM8K,0.3500,0.3550,+0.0050,0.104,0.9169,1,,0
E LOW β=0.5,HellaSwag,0.7110,0.7130,+0.0020,0.099,0.9214,1,,0
E LOW β=0.5,MMLU,0.5698,0.5719,+0.0021,0.118,0.906,1,,0
E LOW β=0.5,Macro,0.5996,0.6017,+0.0021,0.221,0.8254,1,,1
E LOW β=0.5,TruthfulQA,0.4690,0.4715,+0.0025,0.118,0.906,1,,0
E LOW β=0.5,WinoGrande,0.7214,0.7230,+0.0016,0.089,0.9293,1,,0
N HIGH β=0.01,ARC-C,0.5247,0.5247,+0.0000,0.000,1,1,,0
N HIGH β=0.01,BoolQ,0.8510,0.8510,+0.0000,0.000,1,1,,0
N HIGH β=0.01,GSM8K,0.3500,0.3500,+0.0000,0.000,1,1,,0
N HIGH β=0.01,HellaSwag,0.7110,0.7120,+0.0010,0.049,0.9607,1,,0
N HIGH β=0.01,MMLU,0.5698,0.5726,+0.0028,0.157,0.8752,1,,0
N HIGH β=0.01,Macro,0.5996,0.6000,+0.0004,0.046,0.9637,1,,1
N HIGH β=0.01,TruthfulQA,0.4690,0.4699,+0.0008,0.038,0.9693,1,,0
N HIGH β=0.01,WinoGrande,0.7214,0.7198,-0.0016,-0.089,0.9295,1,,0
N HIGH β=0.1,ARC-C,0.5247,0.5273,+0.0026,0.124,0.9013,1,,0
N HIGH β=0.1,BoolQ,0.8510,0.8500,-0.0010,-0.063,0.95,1,,0
N HIGH β=0.1,GSM8K,0.3500,0.3450,-0.0050,-0.105,0.9166,1,,0
N HIGH β=0.1,HellaSwag,0.7110,0.7100,-0.0010,-0.049,0.9607,1,,0
N HIGH β=0.1,MMLU,0.5698,0.5656,-0.0042,-0.236,0.8137,1,,0
N HIGH β=0.1,Macro,0.5996,0.5982,-0.0014,-0.146,0.8838,1,,1
N HIGH β=0.1,TruthfulQA,0.4690,0.4703,+0.0013,0.059,0.9527,1,,0
N HIGH β=0.1,WinoGrande,0.7214,0.7190,-0.0024,-0.133,0.8944,1,,0
N HIGH β=0.5,ARC-C,0.5247,0.5247,+0.0000,0.000,1,1,,0
N HIGH β=0.5,BoolQ,0.8510,0.8500,-0.0010,-0.063,0.95,1,,0
N HIGH β=0.5,GSM8K,0.3500,0.3500,+0.0000,0.000,1,1,,0
N HIGH β=0.5,HellaSwag,0.7110,0.7110,+0.0000,0.000,1,1,,0
N HIGH β=0.5,MMLU,0.5698,0.5712,+0.0014,0.079,0.9374,1,,0
N HIGH β=0.5,Macro,0.5996,0.5999,+0.0003,0.033,0.974,1,,1
N HIGH β=0.5,TruthfulQA,0.4690,0.4692,+0.0002,0.009,0.9926,1,,0
N HIGH β=0.5,WinoGrande,0.7214,0.7230,+0.0016,0.089,0.9293,1,,0
N LOW β=0.01,ARC-C,0.5247,0.5307,+0.0060,0.289,0.7722,1,,0
N LOW β=0.01,BoolQ,0.8510,0.8570,+0.0060,0.380,0.7041,1,,0
N LOW β=0.01,GSM8K,0.3500,0.3600,+0.0100,0.208,0.8349,1,,0
N LOW β=0.01,HellaSwag,0.7110,0.7110,+0.0000,0.000,1,1,,0
N LOW β=0.01,MMLU,0.5698,0.5698,+0.0000,0.000,1,1,,0
N LOW β=0.01,Macro,0.5996,0.6021,+0.0025,0.263,0.7929,1,,1
N LOW β=0.01,TruthfulQA,0.4690,0.4702,+0.0011,0.053,0.958,1,,0
N LOW β=0.01,WinoGrande,0.7214,0.7159,-0.0055,-0.309,0.7572,1,,0
N LOW β=0.1,ARC-C,0.5247,0.5290,+0.0043,0.207,0.8362,1,,0
N LOW β=0.1,BoolQ,0.8510,0.8550,+0.0040,0.252,0.8007,1,,0
N LOW β=0.1,GSM8K,0.3500,0.3550,+0.0050,0.104,0.9169,1,,0
N LOW β=0.1,HellaSwag,0.7110,0.7110,+0.0000,0.000,1,1,,0
N LOW β=0.1,MMLU,0.5698,0.5684,-0.0014,-0.079,0.9374,1,,0
N LOW β=0.1,Macro,0.5996,0.6011,+0.0015,0.162,0.8717,1,,1
N LOW β=0.1,TruthfulQA,0.4690,0.4696,+0.0005,0.024,0.9806,1,,0
N LOW β=0.1,WinoGrande,0.7214,0.7198,-0.0016,-0.089,0.9295,1,,0
N LOW β=0.5,ARC-C,0.5247,0.5256,+0.0009,0.041,0.967,1,,0
N LOW β=0.5,BoolQ,0.8510,0.8550,+0.0040,0.252,0.8007,1,,0
N LOW β=0.5,GSM8K,0.3500,0.3600,+0.0100,0.208,0.8349,1,,0
N LOW β=0.5,HellaSwag,0.7110,0.7100,-0.0010,-0.049,0.9607,1,,0
N LOW β=0.5,MMLU,0.5698,0.5684,-0.0014,-0.078,0.9374,1,,0
N LOW β=0.5,Macro,0.5996,0.6010,+0.0014,0.149,0.8819,1,,1
N LOW β=0.5,TruthfulQA,0.4690,0.4697,+0.0006,0.031,0.9756,1,,0
N LOW β=0.5,WinoGrande,0.7214,0.7182,-0.0032,-0.177,0.8596,1,,0
O HIGH β=0.01,ARC-C,0.5247,0.5299,+0.0051,0.248,0.804,1,,0
O HIGH β=0.01,BoolQ,0.8510,0.8530,+0.0020,0.126,0.8998,1,,0
O HIGH β=0.01,GSM8K,0.3500,0.3550,+0.0050,0.104,0.9169,1,,0
O HIGH β=0.01,HellaSwag,0.7110,0.7160,+0.0050,0.247,0.8048,1,,0
O HIGH β=0.01,MMLU,0.5698,0.5719,+0.0021,0.118,0.9062,1,,0
O HIGH β=0.01,Macro,0.5996,0.6018,+0.0023,0.236,0.8135,1,,1
O HIGH β=0.01,TruthfulQA,0.4690,0.4687,-0.0003,-0.014,0.9889,1,,0
