config,task,score_base,score_dpo,delta,z,p_raw,p_bh,sig_fdr05,is_macro
O HIGH β=0.01,WinoGrande,0.7214,0.7182,-0.0032,-0.177,0.8596,1,,0
O HIGH β=0.1,ARC-C,0.5247,0.5307,+0.0060,0.289,0.7722,1,,0
O HIGH β=0.1,BoolQ,0.8510,0.8540,+0.0030,0.189,0.85,1,,0
O HIGH β=0.1,GSM8K,0.3500,0.3500,+0.0000,0.000,1,1,,0
O HIGH β=0.1,HellaSwag,0.7110,0.7130,+0.0020,0.099,0.9214,1,,0
O HIGH β=0.1,MMLU,0.5698,0.5712,+0.0014,0.079,0.9374,1,,0
O HIGH β=0.1,Macro,0.5996,0.6007,+0.0011,0.119,0.9056,1,,1
O HIGH β=0.1,TruthfulQA,0.4690,0.4685,-0.0005,-0.024,0.9808,1,,0
O HIGH β=0.1,WinoGrande,0.7214,0.7174,-0.0039,-0.221,0.8251,1,,0
O HIGH β=0.5,ARC-C,0.5247,0.5333,+0.0085,0.414,0.6791,1,,0
O HIGH β=0.5,BoolQ,0.8510,0.8520,+0.0010,0.063,0.9499,1,,0
O HIGH β=0.5,GSM8K,0.3500,0.3500,+0.0000,0.000,1,1,,0
O HIGH β=0.5,HellaSwag,0.7110,0.7130,+0.0020,0.099,0.9214,1,,0
O HIGH β=0.5,MMLU,0.5698,0.5726,+0.0028,0.157,0.8751,1,,0
O HIGH β=0.5,Macro,0.5996,0.6014,+0.0019,0.196,0.8442,1,,1
O HIGH β=0.5,TruthfulQA,0.4690,0.4686,-0.0004,-0.020,0.984,1,,0
O HIGH β=0.5,WinoGrande,0.7214,0.7206,-0.0008,-0.044,0.9647,1,,0
O LOW β=0.01,ARC-C,0.5247,0.5230,-0.0017,-0.083,0.9341,1,,0
O LOW β=0.01,BoolQ,0.8510,0.8470,-0.0040,-0.250,0.8028,1,,0
O LOW β=0.01,GSM8K,0.3500,0.3600,+0.0100,0.208,0.8349,1,,0
O LOW β=0.01,HellaSwag,0.7110,0.7130,+0.0020,0.099,0.9214,1,,0
O LOW β=0.01,MMLU,0.5698,0.5684,-0.0014,-0.078,0.9375,1,,0
O LOW β=0.01,Macro,0.5996,0.6001,+0.0006,0.060,0.9521,1,,1
O LOW β=0.01,TruthfulQA,0.4690,0.4690,-0.0001,-0.004,0.9971,1,,0
O LOW β=0.01,WinoGrande,0.7214,0.7206,-0.0008,-0.044,0.9647,1,,0
O LOW β=0.1,ARC-C,0.5247,0.5230,-0.0017,-0.083,0.9341,1,,0
O LOW β=0.1,BoolQ,0.8510,0.8480,-0.0030,-0.188,0.8513,1,,0
O LOW β=0.1,GSM8K,0.3500,0.3350,-0.0150,-0.315,0.7525,1,,0
O LOW β=0.1,HellaSwag,0.7110,0.7130,+0.0020,0.099,0.9214,1,,0
O LOW β=0.1,MMLU,0.5698,0.5712,+0.0014,0.079,0.9374,1,,0
O LOW β=0.1,Macro,0.5996,0.5973,-0.0023,-0.241,0.8092,1,,1
O LOW β=0.1,TruthfulQA,0.4690,0.4700,+0.0010,0.047,0.9625,1,,0
O LOW β=0.1,WinoGrande,0.7214,0.7206,-0.0008,-0.044,0.9647,1,,0
O LOW β=0.5,ARC-C,0.5247,0.5213,-0.0034,-0.165,0.8687,1,,0
O LOW β=0.5,BoolQ,0.8510,0.8500,-0.0010,-0.063,0.95,1,,0
O LOW β=0.5,GSM8K,0.3500,0.3400,-0.0100,-0.210,0.8338,1,,0
O LOW β=0.5,HellaSwag,0.7110,0.7110,+0.0000,0.000,1,1,,0
O LOW β=0.5,MMLU,0.5698,0.5712,+0.0014,0.078,0.9374,1,,0
O LOW β=0.5,Macro,0.5996,0.5978,-0.0018,-0.188,0.8505,1,,1
O LOW β=0.5,TruthfulQA,0.4690,0.4695,+0.0004,0.021,0.9836,1,,0
O LOW β=0.5,WinoGrande,0.7214,0.7214,+0.0000,0.000,1,1,,0
