variant,MMLU,MMLU_lo,MMLU_hi,MMLU_N,ARC-C,ARC-C_lo,ARC-C_hi,ARC-C_N,HellaSwag,HellaSwag_lo,HellaSwag_hi,HellaSwag_N,WinoGrande,WinoGrande_lo,WinoGrande_hi,WinoGrande_N,TruthfulQA,TruthfulQA_lo,TruthfulQA_hi,TruthfulQA_N,BoolQ,BoolQ_lo,BoolQ_hi,BoolQ_N,GSM8K,GSM8K_lo,GSM8K_hi,GSM8K_N,Macro,Macro_lo,Macro_hi
A HIGH β=0.1,0.5467,0.5216,0.5717,1425,0.5060,0.4773,0.5346,1172,0.7030,0.6747,0.7313,1000,0.7080,0.6829,0.7330,1267,0.4625,0.4329,0.4920,817,0.8400,0.8173,0.8627,1000,0.4000,0.3319,0.4681,200,0.5952,0.5817,0.6086
A HIGH β=0.5,0.5446,0.5196,0.5695,1425,0.5085,0.4799,0.5372,1172,0.7050,0.6767,0.7333,1000,0.7072,0.6821,0.7322,1267,0.4618,0.4323,0.4914,817,0.8390,0.8162,0.8618,1000,0.4100,0.3417,0.4783,200,0.5966,0.5831,0.6101
A LOW β=0.01,0.5453,0.5202,0.5703,1425,0.5026,0.4739,0.5312,1172,0.7000,0.6716,0.7284,1000,0.7096,0.6845,0.7346,1267,0.4581,0.4287,0.4876,817,0.8360,0.8130,0.8590,1000,0.4100,0.3417,0.4783,200,0.5945,0.5810,0.6080
A LOW β=0.1,0.5439,0.5188,0.5689,1425,0.5026,0.4739,0.5312,1172,0.7020,0.6736,0.7304,1000,0.7088,0.6837,0.7338,1267,0.4589,0.4294,0.4883,817,0.8350,0.8120,0.8580,1000,0.4150,0.3465,0.4835,200,0.5951,0.5816,0.6087
A LOW β=0.5,0.5425,0.5175,0.5675,1425,0.5026,0.4739,0.5312,1172,0.7020,0.6736,0.7304,1000,0.7088,0.6837,0.7338,1267,0.4577,0.4282,0.4872,817,0.8380,0.8152,0.8608,1000,0.4050,0.3368,0.4732,200,0.5938,0.5803,0.6073
N HIGH β=0.01,0.5474,0.5224,0.5723,1425,0.5026,0.4739,0.5312,1172,0.7010,0.6726,0.7294,1000,0.7088,0.6837,0.7338,1267,0.4607,0.4312,0.4902,817,0.8380,0.8152,0.8608,1000,0.4200,0.3514,0.4886,200,0.5969,0.5834,0.6104
N HIGH β=0.1,0.5453,0.5203,0.5703,1425,0.5026,0.4739,0.5312,1172,0.7040,0.6757,0.7323,1000,0.7080,0.6829,0.7330,1267,0.4600,0.4305,0.4895,817,0.8380,0.8152,0.8608,1000,0.4150,0.3465,0.4835,200,0.5961,0.5826,0.6096
N HIGH β=0.5,0.5446,0.5196,0.5695,1425,0.5043,0.4756,0.5329,1172,0.7030,0.6747,0.7313,1000,0.7088,0.6837,0.7338,1267,0.4604,0.4309,0.4899,817,0.8380,0.8152,0.8608,1000,0.3950,0.3271,0.4629,200,0.5934,0.5800,0.6069
N LOW β=0.01,0.5439,0.5189,0.5689,1425,0.5060,0.4773,0.5346,1172,0.7040,0.6757,0.7323,1000,0.7072,0.6821,0.7322,1267,0.4618,0.4322,0.4913,817,0.8400,0.8173,0.8627,1000,0.4050,0.3368,0.4732,200,0.5954,0.5819,0.6089
N LOW β=0.1,0.5467,0.5217,0.5717,1425,0.5068,0.4782,0.5355,1172,0.7040,0.6757,0.7323,1000,0.7072,0.6821,0.7322,1267,0.4618,0.4322,0.4913,817,0.8410,0.8183,0.8637,1000,0.3950,0.3271,0.4629,200,0.5946,0.5812,0.6081
N LOW β=0.5,0.5453,0.5203,0.5703,1425,0.5068,0.4782,0.5355,1172,0.7030,0.6747,0.7313,1000,0.7103,0.6854,0.7353,1267,0.4609,0.4314,0.4904,817,0.8400,0.8173,0.8627,1000,0.4050,0.3368,0.4732,200,0.5959,0.5824,0.6094
