variant,MMLU,MMLU_lo,MMLU_hi,MMLU_N,ARC-C,ARC-C_lo,ARC-C_hi,ARC-C_N,HellaSwag,HellaSwag_lo,HellaSwag_hi,HellaSwag_N,WinoGrande,WinoGrande_lo,WinoGrande_hi,WinoGrande_N,TruthfulQA,TruthfulQA_lo,TruthfulQA_hi,TruthfulQA_N,BoolQ,BoolQ_lo,BoolQ_hi,BoolQ_N,GSM8K,GSM8K_lo,GSM8K_hi,GSM8K_N,Macro,Macro_lo,Macro_hi
SFT baseline,0.5579,0.5330,0.5828,1425,0.4983,0.4697,0.5269,1172,0.6950,0.6664,0.7236,1000,0.7127,0.6878,0.7376,1267,0.4995,0.4694,0.5296,817,0.8450,0.8226,0.8674,1000,0.3050,0.2410,0.3690,200,0.5876,0.5746,0.6007
O HIGH β=0.01,0.5600,0.5351,0.5849,1425,0.5000,0.4714,0.5286,1172,0.6970,0.6685,0.7255,1000,0.7135,0.6886,0.7384,1267,0.4987,0.4686,0.5289,817,0.8460,0.8236,0.8684,1000,0.2950,0.2316,0.3584,200,0.5872,0.5742,0.6002
O HIGH β=0.1,0.5565,0.5315,0.5815,1425,0.5017,0.4731,0.5303,1172,0.6980,0.6695,0.7265,1000,0.7135,0.6886,0.7384,1267,0.4987,0.4685,0.5288,817,0.8460,0.8236,0.8684,1000,0.3000,0.2363,0.3637,200,0.5878,0.5747,0.6008
O HIGH β=0.5,0.5586,0.5336,0.5836,1425,0.5009,0.4722,0.5295,1172,0.6950,0.6664,0.7236,1000,0.7143,0.6894,0.7392,1267,0.4981,0.4679,0.5282,817,0.8460,0.8236,0.8684,1000,0.2950,0.2316,0.3584,200,0.5868,0.5738,0.5998
O LOW β=0.01,0.5551,0.5302,0.5800,1425,0.4966,0.4679,0.5252,1172,0.6960,0.6675,0.7245,1000,0.7096,0.6845,0.7346,1267,0.4998,0.4697,0.5298,817,0.8480,0.8257,0.8703,1000,0.2900,0.2270,0.3530,200,0.5850,0.5720,0.5980
O LOW β=0.1,0.5544,0.5295,0.5793,1425,0.4957,0.4671,0.5244,1172,0.6970,0.6685,0.7255,1000,0.7111,0.6862,0.7361,1267,0.4998,0.4698,0.5299,817,0.8450,0.8226,0.8674,1000,0.2900,0.2270,0.3530,200,0.5847,0.5717,0.5977
O LOW β=0.5,0.5558,0.5309,0.5807,1425,0.4974,0.4688,0.5261,1172,0.6960,0.6675,0.7245,1000,0.7111,0.6862,0.7361,1267,0.4999,0.4698,0.5299,817,0.8470,0.8247,0.8693,1000,0.2950,0.2316,0.3584,200,0.5860,0.5730,0.5990
C HIGH β=0.01,0.5614,0.5364,0.5864,1425,0.5000,0.4714,0.5286,1172,0.6980,0.6695,0.7265,1000,0.7182,0.6935,0.7430,1267,0.4981,0.4680,0.5283,817,0.8460,0.8236,0.8684,1000,0.3000,0.2363,0.3637,200,0.5888,0.5758,0.6019
C HIGH β=0.1,0.5593,0.5343,0.5843,1425,0.5017,0.4731,0.5303,1172,0.6990,0.6706,0.7274,1000,0.7143,0.6894,0.7392,1267,0.4988,0.4687,0.5290,817,0.8450,0.8226,0.8674,1000,0.2850,0.2223,0.3477,200,0.5862,0.5732,0.5991
C HIGH β=0.5,0.5600,0.5350,0.5850,1425,0.5017,0.4731,0.5303,1172,0.6990,0.6706,0.7274,1000,0.7143,0.6894,0.7392,1267,0.4979,0.4678,0.5280,817,0.8460,0.8236,0.8684,1000,0.3050,0.2410,0.3690,200,0.5891,0.5761,0.6022
C LOW β=0.01,0.5537,0.5288,0.5786,1425,0.4983,0.4697,0.5269,1172,0.6930,0.6644,0.7216,1000,0.7119,0.6870,0.7369,1267,0.4995,0.4695,0.5295,817,0.8490,0.8268,0.8712,1000,0.3100,0.2457,0.3743,200,0.5879,0.5748,0.6010
C LOW β=0.1,0.5530,0.5281,0.5779,1425,0.4966,0.4679,0.5252,1172,0.6920,0.6634,0.7206,1000,0.7135,0.6886,0.7384,1267,0.4994,0.4694,0.5294,817,0.8510,0.8289,0.8731,1000,0.2950,0.2316,0.3584,200,0.5858,0.5728,0.5988
C LOW β=0.5,0.5558,0.5309,0.5807,1425,0.4957,0.4671,0.5244,1172,0.6940,0.6654,0.7226,1000,0.7127,0.6878,0.7376,1267,0.4994,0.4694,0.5294,817,0.8490,0.8268,0.8712,1000,0.3050,0.2410,0.3690,200,0.5874,0.5743,0.6004
E HIGH β=0.01,0.5586,0.5336,0.5836,1425,0.5017,0.4731,0.5303,1172,0.6970,0.6685,0.7255,1000,0.7159,0.6910,0.7407,1267,0.4962,0.4661,0.5263,817,0.8430,0.8204,0.8656,1000,0.2950,0.2316,0.3584,200,0.5868,0.5737,0.5998
E HIGH β=0.1,0.5586,0.5336,0.5836,1425,0.4991,0.4705,0.5278,1172,0.6970,0.6685,0.7255,1000,0.7127,0.6878,0.7376,1267,0.4972,0.4671,0.5273,817,0.8420,0.8194,0.8646,1000,0.2800,0.2176,0.3424,200,0.5838,0.5709,0.5967
E HIGH β=0.5,0.5579,0.5329,0.5828,1425,0.5000,0.4714,0.5286,1172,0.6970,0.6685,0.7255,1000,0.7135,0.6886,0.7384,1267,0.4972,0.4671,0.5273,817,0.8440,0.8215,0.8665,1000,0.2950,0.2316,0.3584,200,0.5864,0.5733,0.5994
E LOW β=0.01,0.5530,0.5281,0.5778,1425,0.5000,0.4714,0.5286,1172,0.6940,0.6654,0.7226,1000,0.7103,0.6854,0.7353,1267,0.5006,0.4706,0.5307,817,0.8490,0.8268,0.8712,1000,0.2900,0.2270,0.3530,200,0.5853,0.5723,0.5983
E LOW β=0.1,0.5523,0.5274,0.5772,1425,0.4991,0.4705,0.5278,1172,0.6930,0.6644,0.7216,1000,0.7096,0.6845,0.7346,1267,0.5008,0.4707,0.5308,817,0.8490,0.8268,0.8712,1000,0.2900,0.2270,0.3530,200,0.5848,0.5718,0.5978
E LOW β=0.5,0.5523,0.5274,0.5772,1425,0.4983,0.4697,0.5269,1172,0.6930,0.6644,0.7216,1000,0.7103,0.6854,0.7353,1267,0.5002,0.4702,0.5303,817,0.8480,0.8257,0.8703,1000,0.2800,0.2176,0.3424,200,0.5832,0.5703,0.5961
A HIGH β=0.01,0.5572,0.5322,0.5822,1425,0.5009,0.4722,0.5295,1172,0.6970,0.6685,0.7255,1000,0.7119,0.6870,0.7369,1267,0.5008,0.4707,0.5310,817,0.8460,0.8236,0.8684,1000,0.3000,0.2363,0.3637,200,0.5877,0.5746,0.6007
A HIGH β=0.1,0.5600,0.5350,0.5850,1425,0.5017,0.4731,0.5303,1172,0.6970,0.6685,0.7255,1000,0.7127,0.6878,0.7376,1267,0.5019,0.4717,0.5320,817,0.8460,0.8236,0.8684,1000,0.3000,0.2363,0.3637,200,0.5885,0.5754,0.6015
A HIGH β=0.5,0.5600,0.5351,0.5849,1425,0.5017,0.4731,0.5303,1172,0.6960,0.6675,0.7245,1000,0.7151,0.6902,0.7399,1267,0.5003,0.4701,0.5304,817,0.8450,0.8226,0.8674,1000,0.2950,0.2316,0.3584,200,0.5876,0.5746,0.6006
A LOW β=0.01,0.5593,0.5343,0.5842,1425,0.4932,0.4645,0.5218,1172,0.6930,0.6644,0.7216,1000,0.7167,0.6918,0.7415,1267,0.4974,0.4674,0.5275,817,0.8420,0.8194,0.8646,1000,0.2950,0.2316,0.3584,200,0.5852,0.5722,0.5982
A LOW β=0.1,0.5565,0.5316,0.5814,1425,0.4915,0.4628,0.5201,1172,0.6940,0.6654,0.7226,1000,0.7159,0.6910,0.7407,1267,0.4973,0.4673,0.5274,817,0.8440,0.8215,0.8665,1000,0.3050,0.2410,0.3690,200,0.5863,0.5732,0.5994
