config,task,score_base,score_dpo,delta,z,p_raw,p_bh,sig_fdr05,is_macro
A HIGH β=0.01,ARC-C,0.4983,0.5009,+0.0026,0.124,0.9014,1,,0
A HIGH β=0.01,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
A HIGH β=0.01,GSM8K,0.3050,0.3000,-0.0050,-0.109,0.9135,1,,0
A HIGH β=0.01,HellaSwag,0.6950,0.6970,+0.0020,0.097,0.9226,1,,0
A HIGH β=0.01,MMLU,0.5579,0.5572,-0.0007,-0.039,0.9689,1,,0
A HIGH β=0.01,Macro,0.5876,0.5877,+0.0001,0.006,0.9948,1,,1
A HIGH β=0.01,TruthfulQA,0.4995,0.5008,+0.0014,0.063,0.9501,1,,0
A HIGH β=0.01,WinoGrande,0.7127,0.7119,-0.0008,-0.044,0.965,1,,0
A HIGH β=0.1,ARC-C,0.4983,0.5017,+0.0034,0.165,0.8688,1,,0
A HIGH β=0.1,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
A HIGH β=0.1,GSM8K,0.3050,0.3000,-0.0050,-0.109,0.9135,1,,0
A HIGH β=0.1,HellaSwag,0.6950,0.6970,+0.0020,0.097,0.9226,1,,0
A HIGH β=0.1,MMLU,0.5579,0.5600,+0.0021,0.117,0.9069,1,,0
A HIGH β=0.1,Macro,0.5876,0.5885,+0.0008,0.089,0.9287,1,,1
A HIGH β=0.1,TruthfulQA,0.4995,0.5019,+0.0024,0.110,0.9126,1,,0
A HIGH β=0.1,WinoGrande,0.7127,0.7127,+0.0000,0.000,1,1,,0
A HIGH β=0.5,ARC-C,0.4983,0.5017,+0.0034,0.165,0.8688,1,,0
A HIGH β=0.5,BoolQ,0.8450,0.8450,+0.0000,0.000,1,1,,0
A HIGH β=0.5,GSM8K,0.3050,0.2950,-0.0100,-0.218,0.8277,1,,0
A HIGH β=0.5,HellaSwag,0.6950,0.6960,+0.0010,0.049,0.9613,1,,0
A HIGH β=0.5,MMLU,0.5579,0.5600,+0.0021,0.117,0.9068,1,,0
A HIGH β=0.5,Macro,0.5876,0.5876,-0.0000,-0.005,0.996,1,,1
A HIGH β=0.5,TruthfulQA,0.4995,0.5003,+0.0008,0.036,0.9712,1,,0
A HIGH β=0.5,WinoGrande,0.7127,0.7151,+0.0024,0.132,0.8951,1,,0
A LOW β=0.01,ARC-C,0.4983,0.4932,-0.0051,-0.248,0.8043,1,,0
A LOW β=0.01,BoolQ,0.8450,0.8420,-0.0030,-0.185,0.8536,1,,0
A LOW β=0.01,GSM8K,0.3050,0.2950,-0.0100,-0.218,0.8277,1,,0
A LOW β=0.01,HellaSwag,0.6950,0.6930,-0.0020,-0.097,0.9227,1,,0
A LOW β=0.01,MMLU,0.5579,0.5593,+0.0014,0.078,0.9378,1,,0
A LOW β=0.01,Macro,0.5876,0.5852,-0.0024,-0.255,0.7985,1,,1
A LOW β=0.01,TruthfulQA,0.4995,0.4974,-0.0021,-0.095,0.9245,1,,0
A LOW β=0.01,WinoGrande,0.7127,0.7167,+0.0039,0.220,0.826,1,,0
A LOW β=0.1,ARC-C,0.4983,0.4915,-0.0068,-0.330,0.7411,1,,0
A LOW β=0.1,BoolQ,0.8450,0.8440,-0.0010,-0.062,0.9508,1,,0
A LOW β=0.1,GSM8K,0.3050,0.3050,+0.0000,0.000,1,1,,0
A LOW β=0.1,HellaSwag,0.6950,0.6940,-0.0010,-0.049,0.9613,1,,0
A LOW β=0.1,MMLU,0.5579,0.5565,-0.0014,-0.078,0.9378,1,,0
A LOW β=0.1,Macro,0.5876,0.5863,-0.0013,-0.140,0.8888,1,,1
A LOW β=0.1,TruthfulQA,0.4995,0.4973,-0.0022,-0.100,0.9205,1,,0
A LOW β=0.1,WinoGrande,0.7127,0.7159,+0.0032,0.176,0.8604,1,,0
A LOW β=0.5,ARC-C,0.4983,0.4957,-0.0026,-0.124,0.9014,1,,0
A LOW β=0.5,BoolQ,0.8450,0.8440,-0.0010,-0.062,0.9508,1,,0
A LOW β=0.5,GSM8K,0.3050,0.2850,-0.0200,-0.438,0.6617,1,,0
A LOW β=0.5,HellaSwag,0.6950,0.6940,-0.0010,-0.049,0.9613,1,,0
A LOW β=0.5,MMLU,0.5579,0.5586,+0.0007,0.039,0.9689,1,,0
A LOW β=0.5,Macro,0.5876,0.5847,-0.0029,-0.310,0.7566,1,,1
A LOW β=0.5,TruthfulQA,0.4995,0.4975,-0.0020,-0.094,0.9253,1,,0
A LOW β=0.5,WinoGrande,0.7127,0.7182,+0.0055,0.308,0.758,1,,0
C HIGH β=0.01,ARC-C,0.4983,0.5000,+0.0017,0.083,0.9342,1,,0
C HIGH β=0.01,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
C HIGH β=0.01,GSM8K,0.3050,0.3000,-0.0050,-0.109,0.9135,1,,0
C HIGH β=0.01,HellaSwag,0.6950,0.6980,+0.0030,0.146,0.8841,1,,0
C HIGH β=0.01,MMLU,0.5579,0.5614,+0.0035,0.195,0.8456,1,,0
C HIGH β=0.01,Macro,0.5876,0.5888,+0.0012,0.127,0.8992,1,,1
C HIGH β=0.01,TruthfulQA,0.4995,0.4981,-0.0014,-0.064,0.9491,1,,0
C HIGH β=0.01,WinoGrande,0.7127,0.7182,+0.0055,0.308,0.758,1,,0
C HIGH β=0.1,ARC-C,0.4983,0.5017,+0.0034,0.165,0.8688,1,,0
C HIGH β=0.1,BoolQ,0.8450,0.8450,+0.0000,0.000,1,1,,0
C HIGH β=0.1,GSM8K,0.3050,0.2850,-0.0200,-0.438,0.6617,1,,0
C HIGH β=0.1,HellaSwag,0.6950,0.6990,+0.0040,0.195,0.8458,1,,0
C HIGH β=0.1,MMLU,0.5579,0.5593,+0.0014,0.078,0.9379,1,,0
C HIGH β=0.1,Macro,0.5876,0.5862,-0.0015,-0.156,0.8757,1,,1
C HIGH β=0.1,TruthfulQA,0.4995,0.4988,-0.0007,-0.031,0.9752,1,,0
C HIGH β=0.1,WinoGrande,0.7127,0.7143,+0.0016,0.088,0.93,1,,0
C HIGH β=0.5,ARC-C,0.4983,0.5017,+0.0034,0.165,0.8688,1,,0
C HIGH β=0.5,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
C HIGH β=0.5,GSM8K,0.3050,0.3050,+0.0000,0.000,1,1,,0
C HIGH β=0.5,HellaSwag,0.6950,0.6990,+0.0040,0.195,0.8458,1,,0
C HIGH β=0.5,MMLU,0.5579,0.5600,+0.0021,0.117,0.9069,1,,0
C HIGH β=0.5,Macro,0.5876,0.5891,+0.0015,0.159,0.8736,1,,1
C HIGH β=0.5,TruthfulQA,0.4995,0.4979,-0.0016,-0.073,0.9417,1,,0
C HIGH β=0.5,WinoGrande,0.7127,0.7143,+0.0016,0.088,0.93,1,,0
C LOW β=0.01,ARC-C,0.4983,0.4983,+0.0000,0.000,1,1,,0
C LOW β=0.01,BoolQ,0.8450,0.8490,+0.0040,0.248,0.8039,1,,0
C LOW β=0.01,GSM8K,0.3050,0.3100,+0.0050,0.108,0.9139,1,,0
C LOW β=0.01,HellaSwag,0.6950,0.6930,-0.0020,-0.097,0.9227,1,,0
C LOW β=0.01,MMLU,0.5579,0.5537,-0.0042,-0.234,0.8147,1,,0
C LOW β=0.01,Macro,0.5876,0.5879,+0.0003,0.031,0.9754,1,,1
C LOW β=0.01,TruthfulQA,0.4995,0.4995,+0.0000,0.002,0.9987,1,,0
C LOW β=0.01,WinoGrande,0.7127,0.7119,-0.0008,-0.044,0.965,1,,0
C LOW β=0.1,ARC-C,0.4983,0.4966,-0.0017,-0.083,0.9342,1,,0
C LOW β=0.1,BoolQ,0.8450,0.8510,+0.0060,0.374,0.7088,1,,0
C LOW β=0.1,GSM8K,0.3050,0.2950,-0.0100,-0.218,0.8277,1,,0
C LOW β=0.1,HellaSwag,0.6950,0.6920,-0.0030,-0.145,0.8844,1,,0
C LOW β=0.1,MMLU,0.5579,0.5530,-0.0049,-0.273,0.7845,1,,0
C LOW β=0.1,Macro,0.5876,0.5858,-0.0018,-0.196,0.8445,1,,1
C LOW β=0.1,TruthfulQA,0.4995,0.4994,-0.0001,-0.004,0.9967,1,,0
C LOW β=0.1,WinoGrande,0.7127,0.7135,+0.0008,0.044,0.965,1,,0
C LOW β=0.5,ARC-C,0.4983,0.4957,-0.0026,-0.124,0.9014,1,,0
C LOW β=0.5,BoolQ,0.8450,0.8490,+0.0040,0.248,0.8039,1,,0
C LOW β=0.5,GSM8K,0.3050,0.3050,+0.0000,0.000,1,1,,0
C LOW β=0.5,HellaSwag,0.6950,0.6940,-0.0010,-0.049,0.9613,1,,0
C LOW β=0.5,MMLU,0.5579,0.5558,-0.0021,-0.117,0.9068,1,,0
C LOW β=0.5,Macro,0.5876,0.5874,-0.0003,-0.027,0.9786,1,,1
C LOW β=0.5,TruthfulQA,0.4995,0.4994,-0.0001,-0.005,0.9961,1,,0
C LOW β=0.5,WinoGrande,0.7127,0.7127,+0.0000,0.000,1,1,,0
E HIGH β=0.01,ARC-C,0.4983,0.5017,+0.0034,0.165,0.8688,1,,0
E HIGH β=0.01,BoolQ,0.8450,0.8430,-0.0020,-0.123,0.902,1,,0
E HIGH β=0.01,GSM8K,0.3050,0.2950,-0.0100,-0.218,0.8277,1,,0
E HIGH β=0.01,HellaSwag,0.6950,0.6970,+0.0020,0.097,0.9226,1,,0
E HIGH β=0.01,MMLU,0.5579,0.5586,+0.0007,0.039,0.9689,1,,0
E HIGH β=0.01,Macro,0.5876,0.5868,-0.0009,-0.092,0.9269,1,,1
E HIGH β=0.01,TruthfulQA,0.4995,0.4962,-0.0033,-0.153,0.8786,1,,0
E HIGH β=0.01,WinoGrande,0.7127,0.7159,+0.0032,0.176,0.8604,1,,0
E HIGH β=0.1,ARC-C,0.4983,0.4991,+0.0009,0.041,0.9671,1,,0
E HIGH β=0.1,BoolQ,0.8450,0.8420,-0.0030,-0.185,0.8536,1,,0
E HIGH β=0.1,GSM8K,0.3050,0.2800,-0.0250,-0.548,0.5834,1,,0
E HIGH β=0.1,HellaSwag,0.6950,0.6970,+0.0020,0.097,0.9226,1,,0
E HIGH β=0.1,MMLU,0.5579,0.5586,+0.0007,0.039,0.9689,1,,0
E HIGH β=0.1,Macro,0.5876,0.5838,-0.0038,-0.407,0.6843,1,,1
E HIGH β=0.1,TruthfulQA,0.4995,0.4972,-0.0023,-0.104,0.9172,1,,0
E HIGH β=0.1,WinoGrande,0.7127,0.7127,+0.0000,0.000,1,1,,0
E HIGH β=0.5,ARC-C,0.4983,0.5000,+0.0017,0.083,0.9342,1,,0
E HIGH β=0.5,BoolQ,0.8450,0.8440,-0.0010,-0.062,0.9508,1,,0
E HIGH β=0.5,GSM8K,0.3050,0.2950,-0.0100,-0.218,0.8277,1,,0
E HIGH β=0.5,HellaSwag,0.6950,0.6970,+0.0020,0.097,0.9226,1,,0
E HIGH β=0.5,MMLU,0.5579,0.5579,+0.0000,0.000,1,1,,0
E HIGH β=0.5,Macro,0.5876,0.5864,-0.0013,-0.134,0.8934,1,,1
E HIGH β=0.5,TruthfulQA,0.4995,0.4972,-0.0023,-0.107,0.9148,1,,0
E HIGH β=0.5,WinoGrande,0.7127,0.7135,+0.0008,0.044,0.965,1,,0
E LOW β=0.01,ARC-C,0.4983,0.5000,+0.0017,0.083,0.9342,1,,0
E LOW β=0.01,BoolQ,0.8450,0.8490,+0.0040,0.248,0.8039,1,,0
E LOW β=0.01,GSM8K,0.3050,0.2900,-0.0150,-0.327,0.7434,1,,0
E LOW β=0.01,HellaSwag,0.6950,0.6940,-0.0010,-0.049,0.9613,1,,0
E LOW β=0.01,MMLU,0.5579,0.5530,-0.0049,-0.274,0.7844,1,,0
E LOW β=0.01,Macro,0.5876,0.5853,-0.0024,-0.250,0.8025,1,,1
E LOW β=0.01,TruthfulQA,0.4995,0.5006,+0.0011,0.052,0.9588,1,,0
E LOW β=0.01,WinoGrande,0.7127,0.7103,-0.0024,-0.131,0.8954,1,,0
E LOW β=0.1,ARC-C,0.4983,0.4991,+0.0009,0.041,0.9671,1,,0
E LOW β=0.1,BoolQ,0.8450,0.8490,+0.0040,0.248,0.8039,1,,0
E LOW β=0.1,GSM8K,0.3050,0.2900,-0.0150,-0.327,0.7434,1,,0
E LOW β=0.1,HellaSwag,0.6950,0.6930,-0.0020,-0.097,0.9227,1,,0
E LOW β=0.1,MMLU,0.5579,0.5523,-0.0056,-0.312,0.7547,1,,0
E LOW β=0.1,Macro,0.5876,0.5848,-0.0028,-0.298,0.7655,1,,1
E LOW β=0.1,TruthfulQA,0.4995,0.5008,+0.0013,0.060,0.9525,1,,0
E LOW β=0.1,WinoGrande,0.7127,0.7096,-0.0032,-0.175,0.8609,1,,0
E LOW β=0.5,ARC-C,0.4983,0.4983,+0.0000,0.000,1,1,,0
E LOW β=0.5,BoolQ,0.8450,0.8480,+0.0030,0.186,0.8524,1,,0
E LOW β=0.5,GSM8K,0.3050,0.2800,-0.0250,-0.548,0.5834,1,,0
E LOW β=0.5,HellaSwag,0.6950,0.6930,-0.0020,-0.097,0.9227,1,,0
E LOW β=0.5,MMLU,0.5579,0.5523,-0.0056,-0.312,0.7547,1,,0
E LOW β=0.5,Macro,0.5876,0.5832,-0.0045,-0.476,0.6343,1,,1
E LOW β=0.5,TruthfulQA,0.4995,0.5002,+0.0008,0.035,0.9721,1,,0
E LOW β=0.5,WinoGrande,0.7127,0.7103,-0.0024,-0.131,0.8954,1,,0
N HIGH β=0.01,ARC-C,0.4983,0.4966,-0.0017,-0.083,0.9342,1,,0
N HIGH β=0.01,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
N HIGH β=0.01,GSM8K,0.3050,0.2900,-0.0150,-0.327,0.7434,1,,0
N HIGH β=0.01,HellaSwag,0.6950,0.6920,-0.0030,-0.145,0.8844,1,,0
N HIGH β=0.01,MMLU,0.5579,0.5551,-0.0028,-0.156,0.876,1,,0
N HIGH β=0.01,Macro,0.5876,0.5843,-0.0033,-0.349,0.7269,1,,1
N HIGH β=0.01,TruthfulQA,0.4995,0.4980,-0.0015,-0.068,0.9458,1,,0
N HIGH β=0.01,WinoGrande,0.7127,0.7127,+0.0000,0.000,1,1,,0
N HIGH β=0.1,ARC-C,0.4983,0.4957,-0.0026,-0.124,0.9014,1,,0
N HIGH β=0.1,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
N HIGH β=0.1,GSM8K,0.3050,0.3100,+0.0050,0.108,0.9139,1,,0
N HIGH β=0.1,HellaSwag,0.6950,0.6920,-0.0030,-0.145,0.8844,1,,0
N HIGH β=0.1,MMLU,0.5579,0.5537,-0.0042,-0.234,0.8148,1,,0
N HIGH β=0.1,Macro,0.5876,0.5874,-0.0002,-0.025,0.9804,1,,1
N HIGH β=0.1,TruthfulQA,0.4995,0.4985,-0.0010,-0.047,0.9629,1,,0
N HIGH β=0.1,WinoGrande,0.7127,0.7159,+0.0032,0.176,0.8604,1,,0
N HIGH β=0.5,ARC-C,0.4983,0.4966,-0.0017,-0.083,0.9342,1,,0
N HIGH β=0.5,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
N HIGH β=0.5,GSM8K,0.3050,0.3000,-0.0050,-0.109,0.9135,1,,0
N HIGH β=0.5,HellaSwag,0.6950,0.6940,-0.0010,-0.049,0.9613,1,,0
N HIGH β=0.5,MMLU,0.5579,0.5565,-0.0014,-0.078,0.9378,1,,0
N HIGH β=0.5,Macro,0.5876,0.5860,-0.0016,-0.173,0.8628,1,,1
N HIGH β=0.5,TruthfulQA,0.4995,0.4986,-0.0009,-0.043,0.9659,1,,0
N HIGH β=0.5,WinoGrande,0.7127,0.7103,-0.0024,-0.131,0.8954,1,,0
N LOW β=0.01,ARC-C,0.4983,0.5009,+0.0026,0.124,0.9014,1,,0
N LOW β=0.01,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
N LOW β=0.01,GSM8K,0.3050,0.2900,-0.0150,-0.327,0.7434,1,,0
N LOW β=0.01,HellaSwag,0.6950,0.6990,+0.0040,0.195,0.8458,1,,0
N LOW β=0.01,MMLU,0.5579,0.5614,+0.0035,0.195,0.8455,1,,0
N LOW β=0.01,Macro,0.5876,0.5873,-0.0003,-0.037,0.9707,1,,1
N LOW β=0.01,TruthfulQA,0.4995,0.4994,-0.0001,-0.003,0.9978,1,,0
N LOW β=0.01,WinoGrande,0.7127,0.7143,+0.0016,0.088,0.93,1,,0
N LOW β=0.1,ARC-C,0.4983,0.5017,+0.0034,0.165,0.8688,1,,0
N LOW β=0.1,BoolQ,0.8450,0.8450,+0.0000,0.000,1,1,,0
N LOW β=0.1,GSM8K,0.3050,0.2900,-0.0150,-0.327,0.7434,1,,0
N LOW β=0.1,HellaSwag,0.6950,0.6990,+0.0040,0.195,0.8458,1,,0
N LOW β=0.1,MMLU,0.5579,0.5614,+0.0035,0.195,0.8454,1,,0
N LOW β=0.1,Macro,0.5876,0.5870,-0.0006,-0.062,0.9503,1,,1
N LOW β=0.1,TruthfulQA,0.4995,0.5003,+0.0008,0.035,0.9719,1,,0
N LOW β=0.1,WinoGrande,0.7127,0.7119,-0.0008,-0.044,0.965,1,,0
N LOW β=0.5,ARC-C,0.4983,0.5026,+0.0043,0.206,0.8364,1,,0
N LOW β=0.5,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
N LOW β=0.5,GSM8K,0.3050,0.3000,-0.0050,-0.109,0.9135,1,,0
N LOW β=0.5,HellaSwag,0.6950,0.6980,+0.0030,0.146,0.8841,1,,0
N LOW β=0.5,MMLU,0.5579,0.5579,+0.0000,0.000,1,1,,0
N LOW β=0.5,Macro,0.5876,0.5883,+0.0007,0.074,0.941,1,,1
N LOW β=0.5,TruthfulQA,0.4995,0.4995,+0.0000,0.002,0.9987,1,,0
N LOW β=0.5,WinoGrande,0.7127,0.7143,+0.0016,0.088,0.93,1,,0
O HIGH β=0.01,ARC-C,0.4983,0.5000,+0.0017,0.083,0.9342,1,,0
O HIGH β=0.01,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
O HIGH β=0.01,GSM8K,0.3050,0.2950,-0.0100,-0.218,0.8277,1,,0
O HIGH β=0.01,HellaSwag,0.6950,0.6970,+0.0020,0.097,0.9226,1,,0
