config,task,score_base,score_dpo,delta,z,p_raw,p_bh,sig_fdr05,is_macro
O HIGH β=0.01,MMLU,0.5579,0.5600,+0.0021,0.117,0.9068,1,,0
O HIGH β=0.01,Macro,0.5876,0.5872,-0.0005,-0.048,0.9619,1,,1
O HIGH β=0.01,TruthfulQA,0.4995,0.4987,-0.0008,-0.035,0.9724,1,,0
O HIGH β=0.01,WinoGrande,0.7127,0.7135,+0.0008,0.044,0.965,1,,0
O HIGH β=0.1,ARC-C,0.4983,0.5017,+0.0034,0.165,0.8688,1,,0
O HIGH β=0.1,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
O HIGH β=0.1,GSM8K,0.3050,0.3000,-0.0050,-0.109,0.9135,1,,0
O HIGH β=0.1,HellaSwag,0.6950,0.6980,+0.0030,0.146,0.8841,1,,0
O HIGH β=0.1,MMLU,0.5579,0.5565,-0.0014,-0.078,0.9379,1,,0
O HIGH β=0.1,Macro,0.5876,0.5878,+0.0001,0.015,0.9882,1,,1
O HIGH β=0.1,TruthfulQA,0.4995,0.4987,-0.0008,-0.038,0.9697,1,,0
O HIGH β=0.1,WinoGrande,0.7127,0.7135,+0.0008,0.044,0.965,1,,0
O HIGH β=0.5,ARC-C,0.4983,0.5009,+0.0026,0.124,0.9014,1,,0
O HIGH β=0.5,BoolQ,0.8450,0.8460,+0.0010,0.062,0.9507,1,,0
O HIGH β=0.5,GSM8K,0.3050,0.2950,-0.0100,-0.218,0.8277,1,,0
O HIGH β=0.5,HellaSwag,0.6950,0.6950,+0.0000,0.000,1,1,,0
O HIGH β=0.5,MMLU,0.5579,0.5586,+0.0007,0.039,0.9689,1,,0
O HIGH β=0.5,Macro,0.5876,0.5868,-0.0008,-0.084,0.9328,1,,1
O HIGH β=0.5,TruthfulQA,0.4995,0.4981,-0.0014,-0.064,0.9487,1,,0
O HIGH β=0.5,WinoGrande,0.7127,0.7143,+0.0016,0.088,0.93,1,,0
O LOW β=0.01,ARC-C,0.4983,0.4966,-0.0017,-0.083,0.9342,1,,0
O LOW β=0.01,BoolQ,0.8450,0.8480,+0.0030,0.186,0.8524,1,,0
O LOW β=0.01,GSM8K,0.3050,0.2900,-0.0150,-0.327,0.7434,1,,0
O LOW β=0.01,HellaSwag,0.6950,0.6960,+0.0010,0.049,0.9613,1,,0
O LOW β=0.01,MMLU,0.5579,0.5551,-0.0028,-0.156,0.8759,1,,0
O LOW β=0.01,Macro,0.5876,0.5850,-0.0026,-0.280,0.7797,1,,1
O LOW β=0.01,TruthfulQA,0.4995,0.4998,+0.0003,0.012,0.9901,1,,0
O LOW β=0.01,WinoGrande,0.7127,0.7096,-0.0032,-0.175,0.8609,1,,0
O LOW β=0.1,ARC-C,0.4983,0.4957,-0.0026,-0.124,0.9014,1,,0
O LOW β=0.1,BoolQ,0.8450,0.8450,+0.0000,0.000,1,1,,0
O LOW β=0.1,GSM8K,0.3050,0.2900,-0.0150,-0.327,0.7434,1,,0
O LOW β=0.1,HellaSwag,0.6950,0.6970,+0.0020,0.097,0.9226,1,,0
O LOW β=0.1,MMLU,0.5579,0.5544,-0.0035,-0.195,0.8452,1,,0
O LOW β=0.1,Macro,0.5876,0.5847,-0.0029,-0.308,0.7578,1,,1
O LOW β=0.1,TruthfulQA,0.4995,0.4998,+0.0004,0.016,0.9869,1,,0
O LOW β=0.1,WinoGrande,0.7127,0.7111,-0.0016,-0.088,0.9301,1,,0
O LOW β=0.5,ARC-C,0.4983,0.4974,-0.0009,-0.041,0.9671,1,,0
O LOW β=0.5,BoolQ,0.8450,0.8470,+0.0020,0.124,0.9014,1,,0
O LOW β=0.5,GSM8K,0.3050,0.2950,-0.0100,-0.218,0.8277,1,,0
O LOW β=0.5,HellaSwag,0.6950,0.6960,+0.0010,0.049,0.9613,1,,0
O LOW β=0.5,MMLU,0.5579,0.5558,-0.0021,-0.117,0.9068,1,,0
O LOW β=0.5,Macro,0.5876,0.5860,-0.0016,-0.170,0.8653,1,,1
O LOW β=0.5,TruthfulQA,0.4995,0.4999,+0.0004,0.017,0.9868,1,,0
O LOW β=0.5,WinoGrande,0.7127,0.7111,-0.0016,-0.088,0.9301,1,,0
